78,To LAX,2011-12-17 14:45:00,2011-12-15 02:30:25.875057,2011-12-15 02:31:03.742204,169,05:15:00
79,To LAX,2011-12-17 00:30:00,2011-12-15 07:43:18.199468,2011-12-15 07:44:34.173206,,12:45:00
34,To Ontario,2011-12-17 18:00:00,2011-12-10 21:49:19.634359,2011-12-16 23:42:53.876701,,
89,From Ontario,2012-01-16 00:15:00,2011-12-30 23:08:28.72257,2011-12-30 23:08:28.72257,137,15:07:00
82,To LAX,2011-12-16 11:30:00,2011-12-15 09:29:30.342098,2011-12-15 09:29:50.371657,176,01:30:00
81,To Ontario,2011-12-17 20:00:00,2011-12-15 09:24:14.234802,2011-12-15 09:33:01.391646,98,10:30:00
83,To LAX,2011-12-17 21:30:00,2011-12-15 19:15:26.043245,2011-12-15 19:15:26.043245,115,11:30:00
84,From Ontario,2012-01-15 20:45:00,2011-12-15 19:17:30.551573,2011-12-15 19:17:30.551573,115,11:17:00
85,To LAX,2011-12-16 23:30:00,2011-12-15 21:52:24.23474,2011-12-15 21:52:43.569465,176,13:50:00
90,From Ontario,2012-01-17 03:30:00,2011-12-30 23:39:11.265703,2011-12-30 23:39:11.265703,208,20:00:00
91,From Ontario,2012-01-15 22:30:00,2011-12-31 00:23:16.717331,2011-12-31 00:23:16.717331,209,16:22:00
80,To LAX,2011-12-17 21:00:00,2011-12-15 08:40:19.867063,2011-12-16 05:18:36.748079,174,10:00:00
58,To Ontario,2011-12-17 22:30:00,2011-12-12 21:04:13.170796,2011-12-17 00:57:52.625758,126,12:30:00
48,To LAX,2011-12-17 19:00:00,2011-12-11 22:28:57.977637,2011-12-17 03:58:52.759104,103,09:30:00
86,From LAX,2012-01-14 23:00:00,2011-12-23 02:19:10.697759,2011-12-23 02:19:10.697759,204,18:18:00
87,From Ontario,2012-01-16 02:45:00,2011-12-25 02:29:01.313493,2011-12-25 02:29:01.313493,207,18:28:00
44,From LAX,2012-01-15 22:45:00,2011-12-11 18:46:47.535933,2012-01-12 06:55:15.455442,,
93,From Ontario,2012-01-16 18:00:00,2012-01-04 20:07:59.952084,2012-01-04 20:07:59.952084,32,12:07:00
94,From Ontario,2012-01-16 01:00:00,2012-01-05 06:23:37.636232,2012-01-05 06:23:37.636232,40,22:22:00
92,To LAX,2012-01-15 19:00:00,2012-01-04 08:10:50.920112,2012-01-06 06:30:48.752252,214,11:30:00
95,From Ontario,2012-01-16 03:30:00,2012-01-06 07:35:58.125198,2012-01-06 07:35:58.125198,215,23:35:00
96,From LAX,2012-01-16 04:00:00,2012-01-06 09:03:49.43571,2012-01-06 09:03:49.43571,34,01:02:00
88,From Ontario,2012-01-16 00:30:00,2011-12-27 06:11:16.002692,2012-01-07 11:05:58.87362,,22:09:00
97,To LAX,2012-01-15 19:30:00,2012-01-06 17:50:53.285077,2012-01-07 16:51:18.967974,,12:45:00
99,From LAX,2012-01-15 19:30:00,2012-01-07 16:52:53.816141,2012-01-07 16:52:53.816141,15,08:51:00
98,From Ontario,2012-01-15 23:15:00,2012-01-07 10:00:47.909509,2012-01-07 20:52:15.852963,,02:00:00
101,From Ontario,2012-01-14 19:00:00,2012-01-09 05:18:45.714255,2012-01-09 05:18:59.436877,83,00:00:00
